CMDLINE C:\Users\jonah\PycharmProjects\WarrenNolanScraper_cloud\.venv\Scripts\python.exe main.py
MEM 48.089844 1737411875.6530
MEM 48.089844 1737411875.7539
MEM 48.089844 1737411875.8546
MEM 48.089844 1737411875.9548
MEM 48.089844 1737411876.0551
MEM 48.089844 1737411876.1554
MEM 48.089844 1737411876.2561
MEM 48.089844 1737411876.3566
MEM 48.089844 1737411876.4573
MEM 48.089844 1737411876.5579
MEM 48.089844 1737411876.6582
MEM 48.089844 1737411876.7589
MEM 48.089844 1737411876.8597
MEM 48.089844 1737411876.9603
MEM 48.089844 1737411877.0609
MEM 48.089844 1737411877.1615
MEM 48.089844 1737411877.2622
MEM 48.089844 1737411877.3627
MEM 48.089844 1737411877.4631
MEM 48.089844 1737411877.5643
MEM 48.089844 1737411877.6654
MEM 48.089844 1737411877.7661
MEM 48.089844 1737411877.8667
MEM 48.089844 1737411877.9672
MEM 48.089844 1737411878.0679
MEM 48.089844 1737411878.1688
MEM 48.089844 1737411878.2691
MEM 48.089844 1737411878.3701
MEM 48.089844 1737411878.4707
MEM 48.089844 1737411878.5711
MEM 48.089844 1737411878.6719
MEM 48.089844 1737411878.7723
MEM 48.089844 1737411878.8728
MEM 48.089844 1737411878.9732
MEM 48.089844 1737411879.0736
MEM 48.089844 1737411879.1746
MEM 48.089844 1737411879.2752
MEM 48.089844 1737411879.3807
MEM 48.089844 1737411879.4812
MEM 48.089844 1737411879.5817
MEM 48.089844 1737411879.6821
MEM 48.089844 1737411879.7828
MEM 48.089844 1737411879.8835
MEM 48.089844 1737411879.9842
MEM 48.089844 1737411880.0853
MEM 48.089844 1737411880.1859
MEM 48.089844 1737411880.2870
MEM 48.089844 1737411880.3873
MEM 48.089844 1737411880.4876
MEM 48.089844 1737411880.5888
MEM 48.089844 1737411880.6896
MEM 48.089844 1737411880.7903
MEM 48.089844 1737411880.8908
MEM 48.089844 1737411880.9913
MEM 48.089844 1737411881.0917
MEM 48.089844 1737411881.1921
MEM 48.089844 1737411881.2926
MEM 48.089844 1737411881.3932
MEM 48.089844 1737411881.4950
MEM 48.089844 1737411881.5956
MEM 48.089844 1737411881.6962
MEM 48.089844 1737411881.7967
MEM 48.089844 1737411881.8973
MEM 48.089844 1737411882.0021
MEM 48.089844 1737411882.1028
MEM 48.089844 1737411882.2037
MEM 48.089844 1737411882.3044
MEM 48.089844 1737411882.4052
MEM 48.089844 1737411882.5060
MEM 48.089844 1737411882.6064
MEM 48.089844 1737411882.7069
MEM 48.089844 1737411882.8072
MEM 48.089844 1737411882.9078
MEM 48.089844 1737411883.0084
MEM 48.089844 1737411883.1092
MEM 48.089844 1737411883.2107
MEM 48.089844 1737411883.3111
MEM 48.089844 1737411883.4114
MEM 48.089844 1737411883.5121
MEM 48.089844 1737411883.6127
MEM 48.089844 1737411883.7131
MEM 48.089844 1737411883.8138
MEM 48.089844 1737411883.9148
MEM 48.089844 1737411884.0154
MEM 48.089844 1737411884.1159
MEM 48.089844 1737411884.2162
MEM 48.089844 1737411884.3166
MEM 48.089844 1737411884.4172
MEM 48.089844 1737411884.5175
MEM 48.089844 1737411884.6180
MEM 48.089844 1737411884.7184
MEM 48.089844 1737411884.8188
MEM 48.089844 1737411884.9196
MEM 48.089844 1737411885.0200
MEM 48.089844 1737411885.1207
MEM 48.089844 1737411885.2282
MEM 48.089844 1737411885.3285
MEM 48.089844 1737411885.4292
MEM 48.089844 1737411885.5298
MEM 48.089844 1737411885.6304
MEM 48.089844 1737411885.7309
MEM 48.089844 1737411885.8315
MEM 48.089844 1737411885.9322
MEM 48.089844 1737411886.0331
MEM 48.089844 1737411886.1338
MEM 48.089844 1737411886.2347
MEM 48.089844 1737411886.3349
MEM 48.089844 1737411886.4358
MEM 48.089844 1737411886.5363
MEM 48.089844 1737411886.6369
MEM 48.089844 1737411886.7374
MEM 48.089844 1737411886.8382
MEM 48.089844 1737411886.9389
MEM 48.089844 1737411887.0394
MEM 48.046875 1737411887.1397
MEM 48.046875 1737411887.2403
MEM 48.046875 1737411887.3410
MEM 48.046875 1737411887.4416
MEM 48.046875 1737411887.5424
MEM 48.046875 1737411887.6429
MEM 48.046875 1737411887.7438
MEM 48.046875 1737411887.8443
MEM 48.046875 1737411887.9450
MEM 48.046875 1737411888.0452
MEM 48.046875 1737411888.1456
MEM 48.046875 1737411888.2464
MEM 48.046875 1737411888.3467
MEM 48.046875 1737411888.4470
MEM 48.046875 1737411888.5475
MEM 48.046875 1737411888.6483
MEM 48.046875 1737411888.7488
MEM 48.046875 1737411888.8492
MEM 48.046875 1737411888.9501
MEM 48.046875 1737411889.0506
MEM 48.046875 1737411889.1513
MEM 48.046875 1737411889.2517
MEM 48.046875 1737411889.3521
MEM 48.046875 1737411889.4527
MEM 48.046875 1737411889.5535
MEM 48.046875 1737411889.6544
MEM 48.046875 1737411889.7548
MEM 48.046875 1737411889.8552
MEM 48.046875 1737411889.9560
MEM 48.046875 1737411890.0562
MEM 48.046875 1737411890.1569
MEM 48.046875 1737411890.2572
MEM 48.046875 1737411890.3575
MEM 48.046875 1737411890.4578
MEM 48.046875 1737411890.5583
MEM 48.046875 1737411890.6589
MEM 48.046875 1737411890.7594
MEM 48.046875 1737411890.8600
MEM 48.046875 1737411890.9605
MEM 48.046875 1737411891.0611
MEM 48.046875 1737411891.1614
MEM 48.046875 1737411891.2622
MEM 48.046875 1737411891.3629
MEM 48.046875 1737411891.4632
MEM 48.046875 1737411891.5676
MEM 48.046875 1737411891.6683
MEM 48.046875 1737411891.7690
MEM 48.046875 1737411891.8695
MEM 48.046875 1737411891.9702
MEM 48.046875 1737411892.0707
MEM 48.046875 1737411892.1713
MEM 48.046875 1737411892.2719
MEM 48.046875 1737411892.3724
MEM 48.046875 1737411892.4729
MEM 48.046875 1737411892.5735
MEM 48.046875 1737411892.6741
MEM 48.046875 1737411892.7748
MEM 48.046875 1737411892.8755
MEM 48.046875 1737411892.9761
MEM 48.046875 1737411893.0765
MEM 48.046875 1737411893.1773
MEM 48.046875 1737411893.2778
MEM 48.046875 1737411893.3785
MEM 48.046875 1737411893.4792
MEM 48.046875 1737411893.5800
MEM 48.046875 1737411893.6806
MEM 48.046875 1737411893.7812
MEM 48.046875 1737411893.8824
MEM 48.046875 1737411893.9827
MEM 48.046875 1737411894.0848
MEM 48.046875 1737411894.1853
MEM 48.046875 1737411894.2859
MEM 48.046875 1737411894.3870
MEM 48.046875 1737411894.4882
MEM 48.046875 1737411894.5886
MEM 48.046875 1737411894.6892
MEM 48.046875 1737411894.7897
MEM 48.046875 1737411894.8900
MEM 48.046875 1737411894.9903
MEM 48.046875 1737411895.0907
MEM 48.046875 1737411895.1911
MEM 48.046875 1737411895.2932
MEM 48.046875 1737411895.3935
MEM 48.046875 1737411895.4941
MEM 48.046875 1737411895.5946
MEM 48.046875 1737411895.6951
MEM 48.046875 1737411895.7958
MEM 48.046875 1737411895.8962
